file_name,zero_crossing_rate,rmse,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tempo,harmonic,chroma_stft,tonnetz,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,full_path
Song/classical\1.mp3,0.0776374740187548,0.09023133,1308.7846913889607,1428.4174650470254,29.49799558384323,2067.707927376377,129.19921875,-2.71763e-07,0.1702598,-0.0668681809370622,-301.98102,111.01889,-16.554873,1.3901038,-21.116175,-6.0283995,-3.359073,5.2875605,-0.86370456,-6.12256,-5.5473895,-1.3831807,0.9800311,C:\Users\user\OneDrive\Desktop\FYP\Development\Music-recommendation-system\Song Dataset\classical\1.mp3
Song/classical\2.mp3,0.0445121417005027,0.10961468,667.4337567357834,906.71238285414,24.49031150335829,865.7122052186049,117.45383522727272,-3.8079181e-06,0.21142854,0.0505967358849989,-292.94128,198.567,26.256182,8.870946,-7.5469317,-11.188638,-5.373054,-13.571879,-14.155404,-12.302365,-10.298605,1.1043714,1.6458664,C:\Users\user\OneDrive\Desktop\FYP\Development\Music-recommendation-system\Song Dataset\classical\2.mp3
Song/classical\3.mp3,0.0547532083816705,0.0694808,1541.4177228186802,2072.509829746797,22.43939389406949,3440.278926415676,117.45383522727272,6.4409534e-05,0.3227031,0.0014395594909459,-193.3083,115.98634,2.8875508,36.27571,4.86448,8.378723,-3.0149674,6.0038285,3.2698803,2.259226,-6.5087357,0.32068783,1.1559671,C:\Users\user\OneDrive\Desktop\FYP\Development\Music-recommendation-system\Song Dataset\classical\3.mp3
Song/classical\4.mp3,0.0506621063539249,0.04961377,760.8979192745825,953.800254895812,25.049065180028645,1079.1332271425465,95.703125,6.386612e-07,0.18219802,0.0652938617564205,-383.80838,186.15517,10.805971,-7.4742417,2.5354261,-8.767576,-10.830298,-7.260363,-4.148284,-0.44117817,1.0925454,-0.970128,-1.3733188,C:\Users\user\OneDrive\Desktop\FYP\Development\Music-recommendation-system\Song Dataset\classical\4.mp3
Song/classical\5.mp3,0.0411151316584493,0.04652884,591.853710329883,688.1942666346447,24.49498845290953,915.8064627592082,143.5546875,0.00075258524,0.23527475,-0.0458629010314977,-375.61063,223.1426,16.860432,-6.2411346,11.2433405,-4.478396,-7.483247,-7.5968685,-11.8810215,-7.7805233,-3.984492,-5.1040187,-3.1260574,C:\Users\user\OneDrive\Desktop\FYP\Development\Music-recommendation-system\Song Dataset\classical\5.mp3
Song/classical\6.mp3,0.0468440339810518,0.09052112,676.4606763888718,822.7676895488001,24.78519462773757,937.3479927222304,161.4990234375,0.0025356677,0.17985407,-0.0958103313460398,-325.89005,190.51498,22.525133,-13.950859,3.970873,-5.3467455,-15.176227,-10.733617,-5.9930196,-4.1333456,-3.8375251,-4.3490844,-2.0652776,C:\Users\user\OneDrive\Desktop\FYP\Development\Music-recommendation-system\Song Dataset\classical\6.mp3
Song/classical\7.mp3,0.050074696079853,0.091158815,1035.7881348547205,1406.6467724582706,25.32970937864671,1774.1535797473173,117.45383522727272,-4.5235e-07,0.26600242,-0.0302840414425212,-227.85011,163.82433,-1.7700047,23.021,-17.180347,-3.665967,-18.070911,-8.633627,-11.550306,-12.217712,-14.517782,-8.246618,-14.389769,C:\Users\user\OneDrive\Desktop\FYP\Development\Music-recommendation-system\Song Dataset\classical\7.mp3
Song/classical\8.mp3,0.0389157890443735,0.09330059,917.69776709564,1364.4339694015791,26.520661996656465,1532.841813868547,135.99917763157896,-2.5406473e-07,0.22331072,-0.0388806630407477,-273.76807,149.75154,21.106472,12.236129,-7.545698,-12.805154,-1.5502764,-2.5816479,-19.882902,-11.581658,-20.684824,-13.647649,-7.09978,C:\Users\user\OneDrive\Desktop\FYP\Development\Music-recommendation-system\Song Dataset\classical\8.mp3
Song/classical\9.mp3,0.084932426104505,0.050368845,1728.820288710255,2035.1421007483927,25.74718346051773,3411.230751975784,123.046875,-7.885385e-06,0.21168119,-0.0663690468193462,-263.6715,106.8358,-4.5675216,15.466119,-3.2445278,-0.76091,-8.163908,-4.7775173,-1.128161,1.4949331,-4.7788696,0.44156194,1.7119365,C:\Users\user\OneDrive\Desktop\FYP\Development\Music-recommendation-system\Song Dataset\classical\9.mp3
Song/classical\10.mp3,0.0466389785141144,0.1275004,753.7617601267204,837.5614733020145,26.08805932220317,1331.3448239921693,129.19921875,1.7439672e-05,0.29777488,-0.0070855844908054,-219.20148,215.013,-26.437288,12.505036,9.216325,1.4170394,3.3891163,-4.7467012,-6.7378755,-4.930896,-5.2419524,-5.096905,-3.0968356,C:\Users\user\OneDrive\Desktop\FYP\Development\Music-recommendation-system\Song Dataset\classical\10.mp3
