file_name,zero_crossing_rate,rmse,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tempo,harmonic,chroma_stft,tonnetz,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,path
Song/classical\1.mp3,0.077637474,0.09023133,1308.784691,1428.417465,29.49799558,2067.707927,129.1992188,-2.72E-07,0.1702598,-0.066868181,-301.98102,111.01889,-16.554873,1.3901038,-21.116175,-6.0283995,-3.359073,5.2875605,-0.86370456,-6.12256,-5.5473895,-1.3831807,0.9800311,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\1.mp3
Song/classical\2.mp3,0.044512142,0.10961468,667.4337567,906.7123829,24.4903115,865.7122052,117.4538352,-3.81E-06,0.21142854,0.050596736,-292.94128,198.567,26.256182,8.870946,-7.5469317,-11.188638,-5.373054,-13.571879,-14.155404,-12.302365,-10.298605,1.1043714,1.6458664,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\2.mp3
Song/classical\3.mp3,0.054753208,0.0694808,1541.417723,2072.50983,22.43939389,3440.278926,117.4538352,6.44E-05,0.3227031,0.001439559,-193.3083,115.98634,2.8875508,36.27571,4.86448,8.378723,-3.0149674,6.0038285,3.2698803,2.259226,-6.5087357,0.32068783,1.1559671,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\3.mp3
Song/classical\4.mp3,0.050662106,0.04961377,760.8979193,953.8002549,25.04906518,1079.133227,95.703125,6.39E-07,0.18219802,0.065293862,-383.80838,186.15517,10.805971,-7.4742417,2.5354261,-8.767576,-10.830298,-7.260363,-4.148284,-0.44117817,1.0925454,-0.970128,-1.3733188,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\4.mp3
Song/classical\5.mp3,0.041115132,0.04652884,591.8537103,688.1942666,24.49498845,915.8064628,143.5546875,0.000752585,0.23527475,-0.045862901,-375.61063,223.1426,16.860432,-6.2411346,11.2433405,-4.478396,-7.483247,-7.5968685,-11.8810215,-7.7805233,-3.984492,-5.1040187,-3.1260574,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\5.mp3
Song/classical\6.mp3,0.046844034,0.09052112,676.4606764,822.7676895,24.78519463,937.3479927,161.4990234,0.002535668,0.17985407,-0.095810331,-325.89005,190.51498,22.525133,-13.950859,3.970873,-5.3467455,-15.176227,-10.733617,-5.9930196,-4.1333456,-3.8375251,-4.3490844,-2.0652776,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\6.mp3
Song/classical\7.mp3,0.050074696,0.091158815,1035.788135,1406.646772,25.32970938,1774.15358,117.4538352,-4.52E-07,0.26600242,-0.030284041,-227.85011,163.82433,-1.7700047,23.021,-17.180347,-3.665967,-18.070911,-8.633627,-11.550306,-12.217712,-14.517782,-8.246618,-14.389769,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\7.mp3
Song/classical\8.mp3,0.038915789,0.09330059,917.6977671,1364.433969,26.520662,1532.841814,135.9991776,-2.54E-07,0.22331072,-0.038880663,-273.76807,149.75154,21.106472,12.236129,-7.545698,-12.805154,-1.5502764,-2.5816479,-19.882902,-11.581658,-20.684824,-13.647649,-7.09978,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\8.mp3
Song/classical\9.mp3,0.084932426,0.050368845,1728.820289,2035.142101,25.74718346,3411.230752,123.046875,-7.89E-06,0.21168119,-0.066369047,-263.6715,106.8358,-4.5675216,15.466119,-3.2445278,-0.76091,-8.163908,-4.7775173,-1.128161,1.4949331,-4.7788696,0.44156194,1.7119365,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\9.mp3
Song/classical\10.mp3,0.046638979,0.1275004,753.7617601,837.5614733,26.08805932,1331.344824,129.1992188,1.74E-05,0.29777488,-0.007085584,-219.20148,215.013,-26.437288,12.505036,9.216325,1.4170394,3.3891163,-4.7467012,-6.7378755,-4.930896,-5.2419524,-5.096905,-3.0968356,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\10.mp3
Song/classical\11.mp3,0.074284647,0.069296025,1789.853712,2144.965317,26.47590819,3813.350414,103.359375,-3.31E-06,0.24623936,-0.033149985,-220.52147,97.5873,-4.4128284,26.778254,-2.4062657,3.2886465,-8.561013,-1.9669205,-15.138622,-7.5249815,-4.5822525,-1.9126588,-6.1338787,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\11.mp3
Song/classical\12.mp3,0.061315172,0.073423065,1109.614254,1414.915894,27.85811548,1870.461788,95.703125,-2.59E-08,0.22978844,-0.014500736,-270.65555,147.77524,1.5669284,17.506226,-17.285072,-6.0389867,-16.062895,-7.8725543,-12.220381,-16.40814,-18.654728,-12.13511,-12.014854,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\12.mp3
Song/classical\13.mp3,0.040474664,0.038747367,627.1030084,685.3734848,26.76635079,1102.548296,135.9991776,1.38E-07,0.29247418,0.024758943,-361.83246,211.5543,4.8532643,2.7244854,13.991266,0.5710173,-1.6489315,-9.721395,-12.849723,-11.417294,-8.621256,-6.7175107,-8.330994,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\13.mp3
Song/classical\14.mp3,0.099351828,0.076223776,2203.003323,2328.671233,26.16665261,4707.099083,103.359375,-9.51E-07,0.20761545,0.032507977,-187.03732,83.83325,-6.7195024,13.64942,-19.802786,-12.231108,-16.624897,-0.14554217,-0.6772114,6.1758385,-3.032414,-0.72789407,-8.616344,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\14.mp3
Song/classical\15.mp3,0.08767273,0.058872256,1854.457828,2125.170996,26.00533449,3873.232869,103.359375,-1.06E-06,0.22708464,-0.027405,-207.62964,107.02775,-5.303809,18.241215,-13.768411,-5.604701,-17.47713,-3.2610803,-10.793804,-4.0003777,-5.937574,4.8333507,-2.786223,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\15.mp3
Song/classical\16.mp3,0.049305698,0.07808909,836.1304624,872.8439765,26.15043702,1495.583665,129.1992188,-8.90E-08,0.30376545,0.01824861,-246.94965,207.73299,-37.448833,17.503223,0.803336,-6.537265,-7.5996075,-12.7371855,-9.438627,-11.091638,-4.284617,-5.5603304,-7.9468036,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\16.mp3
Song/classical\17.mp3,0.045129007,0.046524562,714.8243688,1056.374893,23.898457,1033.160754,103.359375,-3.54E-06,0.2223885,0.004734723,-385.7674,200.66109,29.16042,-8.52348,4.493835,-1.1830119,-5.6563144,-4.6093144,-5.82545,-5.3071465,-3.204901,-1.128907,0.4639334,C:\Users\user\OneDrive\Desktop\FYP\Development Interface\Rainy\Music 2\classical\17.mp3
